"";"p";"n";"prop.covered"
"1";0,01;100;0,63265
"2";0,015;100;0,77857
"3";0,02;100;0,86636
"4";0,025;100;0,91771
"5";0,03;100;0,80174
"6";0,035;100;0,86599
"7";0,04;100;0,90833
"8";0,045;100;0,93747
"9";0,05;100;0,87719
"10";0,055;100;0,90856
"11";0,06;100;0,93621
"12";0,065;100;0,89152
"13";0,07;100;0,91529
"14";0,075;100;0,93963
"15";0,08;100;0,89631
"16";0,085;100;0,92428
"17";0,09;100;0,9461
"18";0,095;100;0,90981
"19";0,1;100;0,93311
"20";0,105;100;0,94952
"21";0,11;100;0,92009
"22";0,115;100;0,94085
"23";0,12;100;0,94961
"24";0,125;100;0,93063
"25";0,13;100;0,94068
"26";0,135;100;0,92092
"27";0,14;100;0,94062
"28";0,145;100;0,94821
"29";0,15;100;0,93277
"30";0,155;100;0,94032
"31";0,16;100;0,92543
"32";0,165;100;0,93371
"33";0,17;100;0,94888
"34";0,175;100;0,93598
"35";0,18;100;0,94453
"36";0,185;100;0,93274
"37";0,19;100;0,93762
"38";0,195;100;0,95198
"39";0,2;100;0,93483
"40";0,205;100;0,94727
"41";0,21;100;0,92927
"42";0,215;100;0,94352
"43";0,22;100;0,93303
"44";0,225;100;0,93872
"45";0,23;100;0,95208
"46";0,235;100;0,9345
"47";0,24;100;0,94947
"48";0,245;100;0,93128
"49";0,25;100;0,94631
"50";0,255;100;0,94848
"51";0,26;100;0,94324
"52";0,265;100;0,94446
"53";0,27;100;0,93815
"54";0,275;100;0,9432
"55";0,28;100;0,93613
"56";0,285;100;0,95013
"57";0,29;100;0,93538
"58";0,295;100;0,9478
"59";0,3;100;0,94953
"60";0,305;100;0,94539
"61";0,31;100;0,94825
"62";0,315;100;0,94327
"63";0,32;100;0,94503
"64";0,325;100;0,94078
"65";0,33;100;0,94471
"66";0,335;100;0,93938
"67";0,34;100;0,9409
"68";0,345;100;0,9535
"69";0,35;100;0,9404
"70";0,355;100;0,95205
"71";0,36;100;0,93823
"72";0,365;100;0,95044
"73";0,37;100;0,93715
"74";0,375;100;0,94981
"75";0,38;100;0,93635
"76";0,385;100;0,94898
"77";0,39;100;0,93315
"78";0,395;100;0,9468
"79";0,4;100;0,94767
"80";0,405;100;0,94646
"81";0,41;100;0,94673
"82";0,415;100;0,94554
"83";0,42;100;0,94683
"84";0,425;100;0,94499
"85";0,43;100;0,9451
"86";0,435;100;0,94376
"87";0,44;100;0,94544
"88";0,445;100;0,94381
"89";0,45;100;0,9437
"90";0,455;100;0,94352
"91";0,46;100;0,94344
"92";0,465;100;0,94274
"93";0,47;100;0,94293
"94";0,475;100;0,95474
"95";0,48;100;0,94263
"96";0,485;100;0,95434
"97";0,49;100;0,9433
"98";0,495;100;0,9556
"99";0,5;100;0,94228
"100";0,505;100;0,95486
"101";0,51;100;0,94377
"102";0,515;100;0,95504
"103";0,52;100;0,94365
"104";0,525;100;0,95621
"105";0,53;100;0,94273
"106";0,535;100;0,94131
"107";0,54;100;0,94523
"108";0,545;100;0,94261
"109";0,55;100;0,94425
"110";0,555;100;0,94381
"111";0,56;100;0,94544
"112";0,565;100;0,94431
"113";0,57;100;0,94494
"114";0,575;100;0,9458
"115";0,58;100;0,9459
"116";0,585;100;0,94584
"117";0,59;100;0,94752
"118";0,595;100;0,94709
"119";0,6;100;0,94842
"120";0,605;100;0,94774
"121";0,61;100;0,93368
"122";0,615;100;0,94795
"123";0,62;100;0,93595
"124";0,625;100;0,95058
"125";0,63;100;0,93514
"126";0,635;100;0,95142
"127";0,64;100;0,9383
"128";0,645;100;0,95341
"129";0,65;100;0,93952
"130";0,655;100;0,95359
"131";0,66;100;0,94218
"132";0,665;100;0,9384
"133";0,67;100;0,94353
"134";0,675;100;0,94219
"135";0,68;100;0,94656
"136";0,685;100;0,94292
"137";0,69;100;0,94736
"138";0,695;100;0,94341
"139";0,7;100;0,95177
"140";0,705;100;0,94785
"141";0,71;100;0,93422
"142";0,715;100;0,95004
"143";0,72;100;0,93725
"144";0,725;100;0,94117
"145";0,73;100;0,9409
"146";0,735;100;0,94609
"147";0,74;100;0,94314
"148";0,745;100;0,94841
"149";0,75;100;0,94579
"150";0,755;100;0,92889
"151";0,76;100;0,94888
"152";0,765;100;0,93573
"153";0,77;100;0,9531
"154";0,775;100;0,93932
"155";0,78;100;0,93219
"156";0,785;100;0,94339
"157";0,79;100;0,92812
"158";0,795;100;0,94745
"159";0,8;100;0,93356
"160";0,805;100;0,95227
"161";0,81;100;0,93826
"162";0,815;100;0,93042
"163";0,82;100;0,9432
"164";0,825;100;0,93582
"165";0,83;100;0,94878
"166";0,835;100;0,93378
"167";0,84;100;0,92596
"168";0,845;100;0,93882
"169";0,85;100;0,93393
"170";0,855;100;0,94741
"171";0,86;100;0,9406
"172";0,865;100;0,92321
"173";0,87;100;0,93838
"174";0,875;100;0,93153
"175";0,88;100;0,94962
"176";0,885;100;0,94197
"177";0,89;100;0,92045
"178";0,895;100;0,95002
"179";0,9;100;0,93394
"180";0,905;100;0,90901
"181";0,91;100;0,94603
"182";0,915;100;0,92537
"183";0,92;100;0,89682
"184";0,925;100;0,93897
"185";0,93;100;0,91658
"186";0,935;100;0,8918
"187";0,94;100;0,93788
"188";0,945;100;0,90785
"189";0,95;100;0,8764
"190";0,955;100;0,93674
"191";0,96;100;0,90478
"192";0,965;100;0,86656
"193";0,97;100;0,80253
"194";0,975;100;0,91578
"195";0,98;100;0,86646
"196";0,985;100;0,77756
"197";0,99;100;0,6342
